analysis,Hmax,cputime
0,bT1,Elapsed time: 103354
1,net1_snaq,Elapsed time: 11648
1,newtry1,Elapsed time: 88579
1,timetest01_snaq,Elapsed time: 16688
1,timetest02_snaq,Elapsed time: 37137
1,timetest03_snaq,Elapsed time: 12630
1,timetest04_snaq,Elapsed time: 21942
1,timetest05_snaq,Elapsed time: 23949
1,timetest06_snaq,Elapsed time: 39287
1,timetest07_snaq,Elapsed time: 29822
1,timetest08_snaq,Elapsed time: 51589
1,timetest09_snaq,Elapsed time: 34831
1,timetest10_snaq,Elapsed time: 29394
1,timetest11_snaq,Elapsed time: 67926
1,timetest12_snaq,Elapsed time: 18935
1,timetest13_snaq,Elapsed time: 31456
